title,sold_price,sold_date,bids,link
Canon PowerShot A470 7.1MP Digital Camera - Gray 3.4x optical zoom FOR PARTS ,$8.49,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",2 bids,https://www.ebay.com/itm/255960638063?epid=100060054&hash=item3b9871626f%3Ag%3AdJsAAOSw1WVj3SLO&amdata=enc%3AAQAHAAAAkLPw5eMxCwqSdczklG9EZEPMEOQ5kXgc8S%2FCbXeb%2BjeuWCtlaYIlDRfqPM4hP8a7K16%2B5NOPXN40%2FG6fphQsdxGn4VkPqcO5zDimiRaRojldNBuwNlhrcPna5icH2Ilx0V%2FIp17DVUXZPQGhRy6iIAGkQ7o5MrKAe9%2Fqha01H8kFpyLya3XhlnRqY9pfU1gZPg%3D%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
**MINT** Canon EOS R Mirrorless Digital Camera,"$1,179.00","<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/225408286391?hash=item347b617eb7%3Ag%3AwKQAAOSw4Ptj5B4a&amdata=enc%3AAQAHAAAAoGDjtcnnryt45xW%2FKVEtS5go1ITF1SWmrDAsO3iqhtp%2FfJBZBUm%2BBVtvWWGgplE5CPpZn4q6yPU6r%2FpXHusnFBrOfwqjcHOcpAx6pLbkm6HsJxxcXN23oCDJRvNaCHF438A0I5QCAmzuo4qq5ryayOZIOvlyVEpJzUYMCU%2Bt1600PRIfvLK%2FFlY4ttU9ZWkfb1Lhlruuwxa%2FuC%2Ffid9niIc%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon PowerShot G16 12.1MP 5X Zoom Digital Camera *Fine/Tested* Lens marks,$199.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/225382665372?epid=170289377&hash=item3479da8c9c%3Ag%3AQWEAAOSwOPBj1Utt&amdata=enc%3AAQAHAAAAkMCFOvq0vTwQTamC5W0Q2Mge6pX64AhSqQDOBIN0GguBq%2Bm0cl4aLfmmSM4XAECDxgjG1OAa7dm1B3wmbDJ%2B6PbK%2BTpiV9vtwF2UU%2F9iWUZfc2t87PHAShLrz%2Bb1OdfrOBPvsmu16d7Ft%2FD7eL0IraLBG%2BALULqCrv9VX0LqZQ6hq1PPMcZsN87u9VYVt5QALw%3D%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon Wp-DC36 Digital Camera Waterproof Case FOR SD1300 New,$45.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/155327981159?hash=item242a44e667%3Ag%3AF4AAAOSw-3NjqcZp&amdata=enc%3AAQAHAAAAkATzTQmswNe2SES5cuV5OyhpPdB6Ba9yMvTFfUCklw%2FMPKOceAX3Su6xGeCXcF38ps3%2FdTcReKXC1rg3%2Fr%2BkWrd6NKuw8VITcPQTCsWD5LO11YzWFpm%2FXQIVhAZ49klMtqPBP%2FEhG2lQnDaG0t9ftiZRdSu%2B8BckDf06vRHbMV%2BmsUwsuzLynI%2FA5DEZ%2BVB4sQ%3D%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon Black Powershot SX1 IS Digital Video Camera 10.0 MP- Tested-,$58.42,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/266099686230?hash=item3df4c6fb56%3Ag%3ArGgAAOSwRbxjz-Nn&amdata=enc%3AAQAHAAAAkJFARxZt5CgijLv6LuciBzbgLNSavm9On4Y6rn3bCtJchL0eU8aboRoADphmj5TpwC%2BoIcaDuoUmLREWRvXbWL81iHDrxxrUse%2B5h55b7sJEKamPTAU1XXnKCdzhymcG8WIkgP6vMcCcK0AAt70dv9T1%2BwjF1ihHAkdo2Xg0EFWz3Fm%2FP3elfGOVDeisQa6fNw%3D%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
WORKING - Canon AE-1 35mm Film Camera - TESTED WORKING READ,$84.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/125752595701?epid=52105081&hash=item1d477054f5%3Ag%3AjFEAAOSwZRxj3T6X&amdata=enc%3AAQAHAAAAkA4AUAURCBkQKamnepx%2FfWdARm843yk20I147YXq9zJTENsVUt0009A65Jinp%2BIObL9i%2Bxqo%2FKUG6hJ8wTx2j%2BTKEetngy9LhMt0InYCueyElkbhf3GWHUwrCbfLfSmqFtEZ9l5xsYvKxddztuPUHNbiGPSOOULGBECIn1x6joToWMIWIBSX0T8jRCV4NtmHvg%3D%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon PowerShot SX160 IS 16.0MP 16x Digital Camera Great Condition,$54.99,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/195582497689?hash=item2d89a01399%3Ag%3A5AwAAOSwDupj3G3K&amdata=enc%3AAQAHAAAAoNaBqJJwFMOA8P33Bn2Stkxvo8v6Uk7n4HdyFtf%2BDdO%2B1dtufZn%2BXtWfFhGPpBGUaafFO4500QPQSPZfibX1AWdQ%2B9mxUu9LuvmMHxb5FhQ8X4WHqZEEiOWbv%2FF1A%2BcrDw%2BONZxIvtIGOjev%2BYbPN39aphzzwe4pgh6zhMUaHh3SDwOa019XbniQ2hOoDusCAEIQt4OAYGTfWZQDX%2FzGo7k%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
"Canon 2x Plastic Camera Neck Strap Buckles For SLR / DSLR Strap w/ 3/8"" Ends",$4.49,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/404057890025?hash=item5e13ba1ce9%3Ag%3A7iMAAOSw07dhadcQ&amdata=enc%3AAQAHAAAA0MND126NNnFguBGK6JeiHVFQPven%2BMhbPviz%2B85FwMzAe11N%2BM8MU58QypCcu3Iqf69%2BggpNLICaZQCw9byvLj64kU3FG0BClKk0WKvQteKSE%2FWxuX5G3TM2idc3Z691aAKoN5Z9rSoU8bJTmhZihX2xLaypl8KvdnSkoqm3DI5qkwoGn06CsGK0w5bwmhwk6zNt4rQ%2Fb2utJBwC3lkMg8bSuZJ8x01qHd2vNlFmGjDTT%2BgQhwZ3AtIEcAhmq4GYwdqODv6PUbY3hK6eOozw%2Fg0%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
"Canon EOS 250D/ SL3 24.1 MP Digital SLR Camera, EF-S 18-55mm f4.0-5.6 STM Lens",$469.99,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/404142220676?epid=7035286620&hash=item5e18c0e584%3Ag%3AWPQAAOSwuk9jh7NO&amdata=enc%3AAQAHAAAAoFS2qBF3VPpfaQeG8w56AeOMbxuPZ9qrH0iMynIaRD47OnHXXdkAoR6vvZS%2Bkf9QaprAxqbFBmuXApIZ7kuaaJn%2BfhGWwk7rsbJhqNyvkBXSnrUyMoGV8kwAxoW8FiJJR6N5zH1zzzPCZ0UH%2BI4DpHwARl64btYbCMsLprQFTcSCy8L%2BHAo5Yno9UmcVYxRWmWtIboE%2BF2CTqBdkwCEZM8E%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon EOS M50 Mark II 24.1MP Mirrorless Camera - Black (EF-M 15-45mm...,$540.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",8 bids,https://www.ebay.com/itm/165923965206?epid=5042002600&hash=item26a1d6c916%3Ag%3A5TkAAOSwDulj1Zh3&amdata=enc%3AAQAHAAAA4K9EKDCrj5Ju8ty1WjFGy0efy6GZ9dZheeyzSN%2BoGxxAZsuJXbFCaqn7EpkJ3IGR8ARK4dHfpcl8B9sVBhakqWG0DaPsKnZZ4ReCFFtTLDLvttcc6zndD3b5GJeMSd9IHEr8mG1fJoLw0xEN8hcY%2FQAUD1mAnKyLAgie%2BY2WnEJV26tANOx2oEd3eKHDkvtazX6SSGec0Qh590oK8ztLkaB56OKaA4n64HwB6R8h%2FRnfOqwSYsWVzmlk5XR1ckixWOQcp93xn0543nXpPOGizUNgVD1P7iuoIxFZF4gRgx7y%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
